all_items_deliv,state,all_items_late,perc_delayed
12350,RJ,1495,12.11
40500,SP,1820,4.49
11354,MG,519,4.57
4911,PR,198,4.03
1957,GO,128,6.54
3256,BA,396,12.16
397,AL,85,21.41
701,MS,68,9.70
1279,CE,176,13.76
2077,DF,117,5.63
5345,RS,325,6.08
1593,PE,153,9.60
3558,SC,292,8.21
1995,ES,214,10.73
717,MA,125,17.43
946,PA,106,11.21
881,MT,52,5.90
517,PB,54,10.44
145,AM,4,2.76
67,AP,2,2.99
476,PI,66,13.87
274,TO,27,9.85
248,RO,8,3.23
474,RN,44,9.28
335,SE,51,15.22
80,AC,3,3.75
41,RR,5,12.20
4,NULL,1,25.00
